53.141,8.22
55.752,37.616
38.919,1.46
25.252,55.28
59.92,10.78
51.506,-0.127
54.961,1.492
38.117,13.367
50.112,8.686
51.918,4.418
37.973,23.661
41.058,28.955
41.218,32.668
39.322,2.985
9.085,8.674
51.371,0.595
29.137,48.131
34.352,134.156
37.743,29.091
41.041,28.894
26.349,127.77
52.51,6.104
59.95,30.317
55.781,49.097
52.133,4.65
21.598,39.144
51.48,-0.192
52.528,13.429
6.472,3.395
25.194,55.277
31.389,35.361
52.337,35.361
26.217,50.583
29.325,47.903
52.366,4.9
44.306,8.482
20.55,96.917
51.504,-0.099
51.972,0.781
52.909,0.479
33.85,132.81
52.372,4.871
39.932,32.821
25.345,55.399
46.27,7.29
51.522,-0.086
51.505,-0.076
59.94,30.314
55.646,37.404
24.485,54.354
41.017,28.975
54.322,10.137
41.635,32.337
14.565,121.029
-0.024,37.904
49.599,6.133
-0.07,109.36
6.956,125.48
48.174,11.545
18.603,73.765
36.77,3.03
52.07,4.323
37.758,140.47
35.705,139.752
41.218,32.668
51.232,2.914
56.051,46.707
51.745,0.696
0.325,32.566
52.07,4.323
51.925,4.469
41.929,12.363
57.964,19.081
3.212,101.729
57.7,11.97
37.32,42.181
41.95,16.017
1.817,73.405
24.327,126.213
51.483,46.117
50.55,8.5
19.161,72.886
41.903,12.458
52.144,23.683
41.218,32.668
29.391,47.99
52.464,13.443
41.95,16.017
41.619,15.911
48.397,9.986
51.386,1.377
59.95,30.317
3.187,101.605
41.335,14.129
51.443,5.481
37.758,140.47
25.09,121.56
46.771,23.624
29.207,48.059
41.902,12.466
13.681,100.747
46.27,7.29
43.723,10.395
51.467,-0.213
51.745,0.696
40.538,17.379
56.957,24.126
51.505,-0.076
51.893,8.384
40.467,0.483
53.518,49.128
51.507,-0.128
25.163,55.207
39.885,18.119
40.709,29.8
36.301,30.147
51.507,-0.127
35.119,33.958
51.506,-0.127
37.87,27.16
55.752,37.616
39.459,-0.338
31.389,35.361
25.252,55.28
48.996,11.376
35.127,33.924
51.507,-0.127
49.01,2.547
54.21,-0.289
49.75,0.367
51.515,-0.141
41.383,2.183
55.762,37.612
42.282,3.042
50.775,6.083
31.198,29.919
51.566,0.504
51.485,0.363
51.133,0.883
52.909,0.479
50.85,4.35
40.995,28.627
28.658,48.366
41.619,15.911
52.077,4.308
40.58,17.218
51.596,4.78
22.98,120.19
46.27,7.29
41.907,12.454
51.507,-0.127
30.007,31.186
50.512,30.514
41.054,29.052
51.441,7.012
49.748,13.357
52.972,0.85
52.352,4.913
51.745,0.696
43.878,11.095
48.865,2.328
40.563,17.206
51.972,0.781
31.389,35.361
31.663,46.127
51.282,1.08
51.95,-0.202
51.814,1.169
25.252,55.28
45.435,12.422
51.814,1.169
51.875,0.987
21.976,96.081
41.392,2.19
51.506,-0.127
36.544,32.006
29.37,48.01
52.909,0.479
41.383,2.183
53.048,5.826
37.334,139.861
37.437,25.33
42.821,10.304
59.95,30.317
53.569,-0.128
25.252,55.28
52.464,13.443
51.506,-0.127
41.904,12.453
31.198,29.919
39.538,2.444
28.665,48.343
47.498,8.734
51.467,-0.216
51.23,4.442
52.07,4.323
50.711,7.107
51.867,12.65
59.95,30.317
41.019,28.965
51.507,-0.127
51.507,-0.127
51.425,6.87
38.918,27.837
50.55,6.767
52.251,0.102
51.507,-0.127
51.487,-0.168
33.887,35.513
51.535,0.003
43.009,144.405
3.177,101.619
24.327,126.213
41.41,2.222
42.28,18.83
9.067,7.483
9.739,118.735
